Title,Scotland population mid-year estimate
CDID,SCPOP
Source dataset ID,pop
PreUnit,
Unit,
Release date,25/06/2021
Next release,Nov-22
Important notes,
1971,5235600
1972,5230600
1973,5233900
1974,5240800
1975,5232400
1976,5233400
1977,5226200
1978,5212300
1979,5203600
1980,5193900
1981,5180200
1982,5164500
1983,5148100
1984,5138900
1985,5127900
1986,5111800
1987,5099000
1988,5077400
1989,5078200
1990,5081300
1991,5083300
1992,5085600
1993,5092500
1994,5102200
1995,5103700
1996,5092200
1997,5083300
1998,5077100
1999,5072000
2000,5062900
2001,5064200
2002,5066000
2003,5068500
2004,5084300
2005,5110200
2006,5133100
2007,5170000
2008,5202900
2009,5231900
2010,5262200
2011,5299900
2012,5313600
2013,5327700
2014,5347600
2015,5373000
2016,5404700
2017,5424800
2018,5438100
2019,5463300
2020,5466000
