"year","fit_gradient","lwr_stoc_model","upr_stoc_model"
1970,0.799997832576938,0.674402222733357,0.92559344242052
1971,0.815831166262125,0.703001959839941,0.928660372684309
1972,0.831664499947308,0.730236345632006,0.933092654262611
1973,0.847497833632492,0.756323178535941,0.938672488729042
1974,0.863331167317678,0.781428474236115,0.945233860399242
1975,0.879164501002862,0.805678258870052,0.952650743135672
1976,0.894997834688045,0.829166322727357,0.960829346648733
1977,0.910831168373232,0.851959033921588,0.969703302824875
1978,0.926664502058415,0.874097873782802,0.979231130334028
1979,0.942497835743598,0.895600147299376,0.989395524187821
1980,0.958331169428785,0.916458385062746,1.00020395379482
1981,0.974164503113968,0.93663946575815,1.01168954046979
1982,0.991785714285712,0.951566164483802,1.03819386359323
1983,1.02928571428571,0.979576880401469,1.06579541188067
1984,1.06678571428571,1.02584103858129,1.11353582348214
1985,1.10428571428571,1.06323669679117,1.15333455194121
1986,1.1417857142857,1.10525231987836,1.1968689464466
1987,1.1792857142857,1.14285986819829,1.23675516918517
1988,1.21678571428571,1.15853151974162,1.25198391643917
1989,1.23261903368519,1.19649471633146,1.26874335103891
1990,1.24845236737037,1.20973858858881,1.28716614615193
1991,1.26428570105555,1.22267280118119,1.30589860092992
